Planning_Area,Up_To_15_Mins,16_to_30_Mins,31_to_45_Mins,46_to_60_Mins,More_Than_60_Mins,Total_Pop
ANG MO KIO,16.2,32.4,23.6,18.1,7.7,98.1
BEDOK,23.7,56.8,30.4,26.2,9.1,146.1
BISHAN,5.8,19.2,12.7,7.9,2,47.6
BUKIT BATOK,9.2,25.7,16.2,16,6.7,73.7
BUKIT MERAH,16.8,37.1,12.1,10.4,4.1,80.5
BUKIT PANJANG,6.3,25.1,17.5,20.4,9.8,79.1
BUKIT TIMAH,5.2,16.5,6.1,4.9,1.8,34.5
CHOA CHU KANG,8.3,26.5,20.5,27.1,12.7,95.2
CLEMENTI,6.5,18.8,10.2,6.9,2.2,44.6
GEYLANG,12.4,23.3,12.2,8,3.1,59
HOUGANG,16.5,37.8,30.4,24.6,8.2,117.5
JURONG EAST,6.5,14.9,11.2,9.2,3.2,45
JURONG WEST,23.1,52.3,30.6,34.7,14.3,155
KALLANG,11.1,25,9.1,6.3,2.2,53.7
MARINE PARADE,4,9,3.5,3.3,1,20.8
NOVENA,4.5,10.9,3.2,3.2,0.9,22.9
OUTRAM,3.8,4.4,1.3,1.6,0.4,11.5
PASIR RIS,11,24,15,15.9,9.5,75.3
PUNGGOL,5.2,15.7,15.8,17.7,4.5,59
QUEENSTOWN,7.9,22.3,9,6.2,2,47.4
SEMBAWANG,5.1,10.8,9.5,14.2,6.6,46.2
SENGKANG,11.3,34.9,33.6,32.5,9.4,121.7
SERANGOON,8.2,26.1,16,11.2,3.8,65.3
TAMPINES,22.2,49.3,32.5,30,15.7,149.7
TANGLIN,3,3.9,1,0.5,0.1,8.5
TOA PAYOH,11.1,26.9,17.4,8.5,2.7,66.6
WOODLANDS,17.2,34.3,24.1,35.5,21,132.1
YISHUN,15.2,29.7,27,30.3,14.5,116.6
OTHERS,6.5,8.9,2.6,1.5,0.5,20.1